GeneID	TranscriptID	GeneDescription	GeneName
AFUN011159	AFUN011159-RA	unspecified product	
AFUN011168	AFUN011168-RA	Signal peptidase complex catalytic subunit SEC11 [Source:UniProtKB/TrEMBL;Acc:Q06DK2]	
AFUN011169	AFUN011169-RA	unspecified product	
AFUN011171	AFUN011171-RA	Rwd domain-containing protein [Source:Projected from Anopheles gambiae (AGAP003063) VB Community Annotation]	
AFUN011172	AFUN011172-RA	TOLL pathway signalling [Source:Projected from Anopheles gambiae (AGAP003062) VB Community Annotation]	
AFUN011177	AFUN011177-RA	protein transport protein SEC31 [Source:Projected from Anopheles gambiae (AGAP011551) VB Community Annotation]	
AFUN011179	AFUN011179-RA	unspecified product	
AFUN011185	AFUN011185-RA	26S proteasome regulatory subunit T5 [Source:Projected from Anopheles gambiae (AGAP011557) VB Community Annotation]	
AFUN011187	AFUN011187-RA	WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY14]	Oseg4
AFUN011188	AFUN011188-RA	unspecified product	
AFUN011189	AFUN011189-RA	UDP-glucuronosyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182RY16]	
AFUN011191	AFUN011191-RA	unspecified product	
AFUN011192	AFUN011192-RA	ADP-ribosylation factor-binding protein GGA [Source:Projected from Anopheles gambiae (AGAP011568) UniProtKB/TrEMBL;Acc:A0A1S4H6Z1]	
AFUN011195	AFUN011195-RA	unspecified product	
AFUN011196	AFUN011196-RA	unspecified product	
AFUN011197	AFUN011197-RA	unspecified product	
AFUN011198	AFUN011198-RA	unspecified product	
AFUN011199	AFUN011199-RA	C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY26]	
AFUN011200	AFUN011200-RA	unspecified product	
AFUN011201	AFUN011201-RA	Carboxylic ester hydrolase [Source:UniProtKB/TrEMBL;Acc:A0A182RY28]	
AFUN011203	AFUN011203-RA	TFIIS N-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY30]	
AFUN011204	AFUN011204-RA	unspecified product	
AFUN011205	AFUN011205-RA	PDZ domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY32]	
AFUN011206	AFUN011206-RA	DNA-directed RNA polymerase subunit [Source:Projected from Anopheles gambiae (AGAP028012) UniProtKB/TrEMBL;Acc:A0A1S4HDZ1]	
AFUN011207	AFUN011207-RA	unspecified product	
AFUN011210	AFUN011210-RA	PX domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY37]	
AFUN011211	AFUN011211-RA	Chromo domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY38]	
AFUN011212	AFUN011212-RA	ADP-ribosylation factor 1 [Source:UniProtKB/TrEMBL;Acc:A0A182RY39]	Arf1
AFUN011212	AFUN011212-RB	ADP-ribosylation factor 1 [Source:UniProtKB/TrEMBL;Acc:A0A182RY39]	Arf1
AFUN011216	AFUN011216-RA	unspecified product	
AFUN011217	AFUN011217-RA	unspecified product	
AFUN011218	AFUN011218-RA	TMC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY45]	
AFUN011219	AFUN011219-RA	unspecified product	
AFUN011220	AFUN011220-RA	DBF4-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY47]	
AFUN011220	AFUN011220-RB	DBF4-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY47]	
AFUN011229	AFUN011229-RA	geranylgeranyl transferase type-2 subunit alpha [Source:Projected from Anopheles gambiae (AGAP009724) VB Community Annotation]	
AFUN011234	AFUN011234-RA	unspecified product	
AFUN011235	AFUN011235-RA	LYR motif-containing protein [Source:Projected from Anopheles gambiae (AGAP003941) VB Community Annotation]	
AFUN011236	AFUN011236-RA	Fork-head domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY63]	
AFUN011238	AFUN011238-RA	26S proteasome alpha 1 subunit	Prosalpha1
AFUN011239	AFUN011239-RA	Battenin [Source:UniProtKB/TrEMBL;Acc:A0A182RY66]	
AFUN011244	AFUN011244-RA	unspecified product	
AFUN011246	AFUN011246-RA	Insulin-like peptide [Source:Projected from Anopheles gambiae (AGAP003927) VB Community Annotation]	
AFUN011247	AFUN011247-RA	unspecified product	
AFUN011251	AFUN011251-RA	histone-arginine methyltransferase CARMER [Source:Projected from Anopheles gambiae (AGAP003923) VB Community Annotation]	
AFUN011253	AFUN011253-RA	unspecified product	
AFUN011254	AFUN011254-RA	unspecified product	
AFUN011255	AFUN011255-RA	BCL9 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY82]	
AFUN011256	AFUN011256-RA	peptide alpha-N-acetyltransferase [Source:Projected from Anopheles gambiae (AGAP003917) VB Community Annotation]	
AFUN011261	AFUN011261-RA	DUF5641 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RY88]	
AFUN011262	AFUN011262-RA	unspecified product	
AFUN011263	AFUN011263-RA	unspecified product	
AFUN011264	AFUN011264-RA	unspecified product	
AFUN011265	AFUN011265-RA	unspecified product	
AFUN011266	AFUN011266-RA	glucosyl/glucuronosyl transferases [Source:Projected from Anopheles gambiae (AGAP002327) VB Community Annotation]	
AFUN011269	AFUN011269-RA	unspecified product	
AFUN011270	AFUN011270-RA	60S ribosome subunit biogenesis protein NIP7 homolog [Source:UniProtKB/TrEMBL;Acc:A0A182RY97]	
AFUN011271	AFUN011271-RA	sodium-independent sulfate anion transporter [Source:Projected from Anopheles gambiae (AGAP002331) VB Community Annotation]	
AFUN011271	AFUN011271-RB	sodium-independent sulfate anion transporter [Source:Projected from Anopheles gambiae (AGAP002331) VB Community Annotation]	
AFUN011272	AFUN011272-RA	39S ribosomal protein L11, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182RY99]	mRpL11
AFUN011273	AFUN011273-RA	unspecified product	
AFUN011277	AFUN011277-RA	DNA polymerase iota [Source:Projected from Anopheles gambiae (AGAP003157) VB Community Annotation]	
AFUN011278	AFUN011278-RA	isoleucyl-tRNA synthetase [Source:Projected from Anopheles gambiae (AGAP003156) VB Community Annotation]	
AFUN011279	AFUN011279-RA	UPF0483 protein AGAP003155 [Source:Projected from Anopheles gambiae (AGAP003155) VB Community Annotation]	
AFUN011280	AFUN011280-RA	Transcription elongation factor B polypeptide [Source:Projected from Anopheles gambiae (AGAP003154) VB Community Annotation]	
AFUN011281	AFUN011281-RA	V-type proton ATPase catalytic subunit A [Source:Projected from Anopheles gambiae (AGAP003153) UniProtKB/Swiss-Prot;Acc:Q5TTG1]	
AFUN011282	AFUN011282-RA	unspecified product	
AFUN011284	AFUN011284-RA	unspecified product	
AFUN011285	AFUN011285-RA	unspecified product	
AFUN011286	AFUN011286-RA	unspecified product	
AFUN011289	AFUN011289-RA	unspecified product	
AFUN011290	AFUN011290-RA	unspecified product	
AFUN011291	AFUN011291-RA	sulfide:quinone oxidoreductase [Source:Projected from Anopheles gambiae (AGAP003142) VB Community Annotation]	
AFUN011292	AFUN011292-RA	Insulin-related peptide binding protein [Source:Projected from Anopheles gambiae (AGAP003141) VB Community Annotation]	
AFUN011292	AFUN011292-RB	Insulin-related peptide binding protein [Source:Projected from Anopheles gambiae (AGAP003141) VB Community Annotation]	
AFUN011295	AFUN011295-RA	serine protease inhibitor (serpin) 9	SRPN9
AFUN011296	AFUN011296-RA	dipeptidyl-peptidase [Source:Projected from Anopheles gambiae (AGAP003138) VB Community Annotation]	
AFUN011297	AFUN011297-RA	unspecified product	
AFUN011298	AFUN011298-RA	WAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYC5]	
AFUN011299	AFUN011299-RA	Acylphosphatase [Source:UniProtKB/TrEMBL;Acc:A0A182RYC6]	
AFUN011300	AFUN011300-RA	2-oxoisovalerate dehydrogenase subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A182RYC7]	
AFUN011301	AFUN011301-RA	TFIID_20kDa domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYC8]	
AFUN011302	AFUN011302-RA	FK506-binding protein [Source:Projected from Anopheles gambiae (AGAP003134) VB Community Annotation]	
AFUN011303	AFUN011303-RA	unspecified product	
AFUN011303	AFUN011303-RB	unspecified product	
AFUN011304	AFUN011304-RA	DALR_1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYD1]	
AFUN011305	AFUN011305-RA	unspecified product	
AFUN011306	AFUN011306-RA	unspecified product	
AFUN011307	AFUN011307-RA	unspecified product	
AFUN011308	AFUN011308-RA	unspecified product	
AFUN011311	AFUN011311-RA	unspecified product	
AFUN011312	AFUN011312-RA	unspecified product	
AFUN011313	AFUN011313-RA	Amidohydro-rel domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BB37]	
AFUN011313	AFUN011313-RB	Amidohydro-rel domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0BB37]	
AFUN011314	AFUN011314-RA	CHK domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYE1]	
AFUN011318	AFUN011318-RA	translation initiation factor 1A [Source:Projected from Anopheles gambiae (AGAP003119) VB Community Annotation]	
AFUN011319	AFUN011319-RA	Ubiquitin-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYE6]	
AFUN011320	AFUN011320-RA	unspecified product	
AFUN011322	AFUN011322-RA	BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYE9]	
AFUN011323	AFUN011323-RA	prenyl protein peptidase [Source:Projected from Anopheles gambiae (AGAP004086) VB Community Annotation]	
AFUN011324	AFUN011324-RA	transcriptional adapter [Source:Projected from Anopheles gambiae (AGAP004085) VB Community Annotation]	
AFUN011325	AFUN011325-RA	aprataxin [Source:Projected from Anopheles gambiae (AGAP004084) VB Community Annotation]	
AFUN011326	AFUN011326-RA	Trafficking protein particle complex subunit 6 [Source:UniProtKB/TrEMBL;Acc:A0A182RYF3]	Trs33
AFUN011327	AFUN011327-RA	tRNA (guanine10-N2)-methyltransferase [Source:Projected from Anopheles gambiae (AGAP002384) VB Community Annotation]	
AFUN011328	AFUN011328-RA	disintegrin and metalloproteinase domain-containing protein [Source:Projected from Anopheles gambiae (AGAP002381) VB Community Annotation]	
AFUN011328	AFUN011328-RB	disintegrin and metalloproteinase domain-containing protein [Source:Projected from Anopheles gambiae (AGAP002381) VB Community Annotation]	
AFUN011329	AFUN011329-RA	methionyl-tRNA synthetase [Source:Projected from Anopheles gambiae (AGAP002383) VB Community Annotation]	
AFUN011332	AFUN011332-RA	DDHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYF9]	
AFUN011333	AFUN011333-RA	Adenylosuccinate lyase [Source:Projected from Anopheles gambiae (AGAP002378) UniProtKB/TrEMBL;Acc:Q7QBZ6]	
AFUN011335	AFUN011335-RA	DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:A0A182RYG2]	
AFUN011336	AFUN011336-RA	heterogeneous nuclear ribonucleoprotein A1/A3 [Source:Projected from Anopheles gambiae (AGAP002374) VB Community Annotation]	
AFUN011337	AFUN011337-RA	unspecified product	
AFUN011338	AFUN011338-RA	Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYG5]	
AFUN011339	AFUN011339-RA	choline acetyltransferase	ChAT
AFUN011340	AFUN011340-RA	MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYG7]	
AFUN011341	AFUN011341-RA	unspecified product	
AFUN011342	AFUN011342-RA	high affinity choline transporter [Source:Projected from Anopheles gambiae (AGAP002366) VB Community Annotation]	
AFUN011344	AFUN011344-RA	Amalgam [Source:Projected from Anopheles gambiae (AGAP004108) VB Community Annotation]	
AFUN011345	AFUN011345-RA	unspecified product	
AFUN011346	AFUN011346-RA	HMG box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYH3]	
AFUN011348	AFUN011348-RA	Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYH5]	
AFUN011349	AFUN011349-RA	39S ribosomal protein L55, mitochondrial	mRpL55
AFUN011350	AFUN011350-RA	gustatory receptor	Gr1
AFUN011354	AFUN011354-RA	Class A Scavenger Receptor (SRCR domain) with Lysyl Oxidase domain. [Source:Projected from Anopheles gambiae (AGAP004118) VB Community Annotation]	
AFUN011358	AFUN011358-RA	golgin subfamily A member [Source:Projected from Anopheles gambiae (AGAP004120) VB Community Annotation]	
AFUN011359	AFUN011359-RA	Protein osiris 1 [Source:UniProtKB/TrEMBL;Acc:A0A182RYI6]	Osi1
AFUN011360	AFUN011360-RA	neuropeptide Y receptor [Source:Projected from Anopheles gambiae (AGAP004123) VB Community Annotation]	
AFUN011361	AFUN011361-RA	protein osiris [Source:Projected from Anopheles gambiae (AGAP004124) VB Community Annotation]	
AFUN011362	AFUN011362-RA	protein osiris 2	Osi2
AFUN011362	AFUN011362-RB	protein osiris 2	Osi2
AFUN011363	AFUN011363-RA	protein osiris 3	Osi3
AFUN011364	AFUN011364-RA	protein osiris 4	Osi4
AFUN011365	AFUN011365-RA	protein osiris 5	Osi5
AFUN011366	AFUN011366-RA	Protein osiris 6 [Source:UniProtKB/TrEMBL;Acc:A0A182RYJ3]	Osi6
AFUN011367	AFUN011367-RA	Protein osiris 7 [Source:UniProtKB/TrEMBL;Acc:A0A182RYJ4]	Osi7
AFUN011368	AFUN011368-RA	Protein osiris 8 [Source:UniProtKB/TrEMBL;Acc:A0A182RYJ5]	Osi8
AFUN011369	AFUN011369-RA	Protein osiris 9 [Source:UniProtKB/TrEMBL;Acc:A0A182RYJ6]	Osi9
AFUN011371	AFUN011371-RA	CHK domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYJ8]	
AFUN011372	AFUN011372-RA	Protein osiris 11 [Source:UniProtKB/TrEMBL;Acc:A0A182RYJ9]	Osi11
AFUN011378	AFUN011378-RA	WD repeat domain phosphoinositide-interacting protein [Source:Projected from Anopheles gambiae (AGAP012792) VB Community Annotation]	
AFUN011380	AFUN011380-RA	unspecified product	
AFUN011381	AFUN011381-RA	zf-AD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYK5]	
AFUN011382	AFUN011382-RA	unspecified product	
AFUN011383	AFUN011383-RA	Aspartate aminotransferase [Source:UniProtKB/TrEMBL;Acc:A0A182RYK7]	
AFUN011384	AFUN011384-RA	Rap-GAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYK8]	
AFUN011385	AFUN011385-RA	unspecified product	
AFUN011386	AFUN011386-RA	unspecified product	
AFUN011387	AFUN011387-RA	RNA-binding protein PNO1 [Source:Projected from Anopheles gambiae (AGAP004145) VB Community Annotation]	
AFUN011388	AFUN011388-RA	unspecified product	
AFUN011389	AFUN011389-RA	Ras-related protein Rab-1A [Source:Projected from Anopheles gambiae (AGAP004146) VB Community Annotation]	
AFUN011390	AFUN011390-RA	Exocyst complex component 5 [Source:UniProtKB/TrEMBL;Acc:A0A182RYL4]	Exo5
AFUN011393	AFUN011393-RA	unspecified product	
AFUN011394	AFUN011394-RA	protein phosphatase [Source:Projected from Anopheles gambiae (AGAP004151) VB Community Annotation]	
AFUN011398	AFUN011398-RA	unspecified product	
AFUN011404	AFUN011404-RA	UDP-sugar diphosphatase [Source:Projected from Anopheles gambiae (AGAP004158) VB Community Annotation]	
AFUN011405	AFUN011405-RA	Malic enzyme [Source:UniProtKB/TrEMBL;Acc:A0A182RYM9]	
AFUN011407	AFUN011407-RA	myofilin variant C [Source:Projected from Anopheles gambiae (AGAP004161) VB Community Annotation]	
AFUN011408	AFUN011408-RA	myosin, light polypeptide 9, regulatory [Source:Projected from Anopheles gambiae (AGAP004162) VB Community Annotation]	
AFUN011409	AFUN011409-RA	unspecified product	
AFUN011410	AFUN011410-RA	Glutathione S-transferase [Source:UniProtKB/TrEMBL;Acc:A0A182RYN4]	GSTD7
AFUN011412	AFUN011412-RA	unspecified product	
AFUN011414	AFUN011414-RA	F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYN7]	
AFUN011418	AFUN011418-RA	unspecified product	
AFUN011420	AFUN011420-RA	Glutathione S-transferase [Source:UniProtKB/TrEMBL;Acc:A0A182RYP2]	GSTD5
AFUN011421	AFUN011421-RA	MADF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYP3]	
AFUN011423	AFUN011423-RA	ribosomal RNA large subunit methyltransferase E [Source:Projected from Anopheles gambiae (AGAP013223) VB Community Annotation]	
AFUN011424	AFUN011424-RA	unspecified product	
AFUN011431	AFUN011431-RA	unspecified product	
AFUN011432	AFUN011432-RA	unspecified product	
AFUN011437	AFUN011437-RA	polyhomeotic-like protein [Source:Projected from Anopheles gambiae (AGAP004188) VB Community Annotation]	
AFUN011437	AFUN011437-RB	polyhomeotic-like protein [Source:Projected from Anopheles gambiae (AGAP004188) VB Community Annotation]	
AFUN011438	AFUN011438-RA	D-2-hydroxyglutarate dehydrogenase, mitochondrial [Source:Projected from Anopheles gambiae (AGAP004189) VB Community Annotation]	
AFUN011439	AFUN011439-RA	unspecified product	
AFUN011440	AFUN011440-RA	6-phosphogluconate dehydrogenase, decarboxylating [Source:UniProtKB/TrEMBL;Acc:A0A182RYR2]	
AFUN011446	AFUN011446-RA	transcription factor Sp, invertebrate [Source:Projected from Anopheles gambiae (AGAP000674) VB Community Annotation]	
AFUN011447	AFUN011447-RA	uncharacterized protein FAM107B [Source:Projected from Anopheles gambiae (AGAP000675) VB Community Annotation]	
AFUN011448	AFUN011448-RA	DUF2428 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYS0]	
AFUN011451	AFUN011451-RA	WD repeat-containing protein [Source:Projected from Anopheles gambiae (AGAP000678) VB Community Annotation]	
AFUN011451	AFUN011451-RB	WD repeat-containing protein [Source:Projected from Anopheles gambiae (AGAP000678) VB Community Annotation]	
AFUN011453	AFUN011453-RA	CYTH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYS5]	
AFUN011454	AFUN011454-RA	MAX-like protein X [Source:Projected from Anopheles gambiae (AGAP000682) VB Community Annotation]	
AFUN011455	AFUN011455-RA	unspecified product	
AFUN011456	AFUN011456-RA	unspecified product	
AFUN011457	AFUN011457-RA	WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYS9]	rempA
AFUN011458	AFUN011458-RA	Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYT0]	
AFUN011458	AFUN011458-RB	Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYT0]	
AFUN011459	AFUN011459-RA	carbonic anhydrase-related protein [Source:Projected from Anopheles gambiae (AGAP000688) VB Community Annotation]	
AFUN011460	AFUN011460-RA	unspecified product	
AFUN011463	AFUN011463-RA	unspecified product	
AFUN011465	AFUN011465-RA	cecropin anti-microbial peptide [Source:Projected from Anopheles gambiae (AGAP000694) VB Community Annotation]	
AFUN011466	AFUN011466-RA	unspecified product	
AFUN011466	AFUN011466-RB	unspecified product	
AFUN011467	AFUN011467-RA	unspecified product	
AFUN011468	AFUN011468-RA	unspecified product	
AFUN011469	AFUN011469-RA	unspecified product	
AFUN011470	AFUN011470-RA	unspecified product	
AFUN011470	AFUN011470-RB	unspecified product	
AFUN011470	AFUN011470-RC	unspecified product	
AFUN011471	AFUN011471-RA	unspecified product	
AFUN011472	AFUN011472-RA	unspecified product	
AFUN011473	AFUN011473-RA	unspecified product	
AFUN011474	AFUN011474-RA	MOSC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYU5]	
AFUN011475	AFUN011475-RA	Vesicle-associated membrane protein [Source:Projected from Anopheles gambiae (AGAP000700) VB Community Annotation]	
AFUN011475	AFUN011475-RB	Vesicle-associated membrane protein [Source:Projected from Anopheles gambiae (AGAP000700) VB Community Annotation]	
AFUN011476	AFUN011476-RA	unspecified product	
AFUN011479	AFUN011479-RA	unspecified product	
AFUN011480	AFUN011480-RA	achaete-scute complex protein [Source:Projected from Anopheles gambiae (AGAP000878) VB Community Annotation]	
AFUN011481	AFUN011481-RA	Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A182RYV2]	CYP4G17
AFUN011482	AFUN011482-RA	achaete-scute complex protein [Source:Projected from Anopheles gambiae (AGAP000876) VB Community Annotation]	
AFUN011483	AFUN011483-RA	Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYV4]	
AFUN011485	AFUN011485-RA	unspecified product	
AFUN011488	AFUN011488-RA	unspecified product	
AFUN011489	AFUN011489-RA	unspecified product	
AFUN011489	AFUN011489-RB	unspecified product	
AFUN011490	AFUN011490-RA	autophagy related gene [Source:Projected from Anopheles gambiae (AGAP010939) VB Community Annotation]	
AFUN011491	AFUN011491-RA	unspecified product	
AFUN011493	AFUN011493-RA	Mediator of RNA polymerase II transcription subunit 18 [Source:UniProtKB/TrEMBL;Acc:A0A182RYW4]	Med18
AFUN011494	AFUN011494-RA	unspecified product	
AFUN011496	AFUN011496-RA	Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A182RYW6]	
AFUN011497	AFUN011497-RA	unspecified product	
AFUN011499	AFUN011499-RA	molecular chaperone DnaK [Source:Projected from Anopheles gambiae (AGAP010876) VB Community Annotation]	
AFUN011500	AFUN011500-RA	sulfite oxidase [Source:Projected from Anopheles gambiae (AGAP010877) VB Community Annotation]	
AFUN011501	AFUN011501-RA	Aquaporin [Source:UniProtKB/TrEMBL;Acc:A0A182RYX1]	AQP7
AFUN011502	AFUN011502-RA	unspecified product	
AFUN011503	AFUN011503-RA	MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYX3]	
AFUN011504	AFUN011504-RA	kinesin-like protein costa [Source:Projected from Anopheles gambiae (AGAP010883) VB Community Annotation]	
AFUN011505	AFUN011505-RA	unspecified product	
AFUN011506	AFUN011506-RA	(S)-2-hydroxy-acid oxidase [Source:Projected from Anopheles gambiae (AGAP010885) VB Community Annotation]	
AFUN011508	AFUN011508-RA	PKS_ER domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYX8]	
AFUN011509	AFUN011509-RA	enoyl-CoA hydratase [Source:Projected from Anopheles gambiae (AGAP011833) VB Community Annotation]	
AFUN011510	AFUN011510-RA	unspecified product	
AFUN011512	AFUN011512-RA	NADH dehydrogenase (ubiquinone) 1 beta subcomplex [Source:Projected from Anopheles gambiae (AGAP011829) VB Community Annotation]	
AFUN011513	AFUN011513-RA	cathepsin L	Cp1
AFUN011515	AFUN011515-RA	Thioredoxin peroxidase 4 [Source:UniProtKB/TrEMBL;Acc:A0A182RYY4]	TPX4
AFUN011516	AFUN011516-RA	proteasome component ECM29 [Source:Projected from Anopheles gambiae (AGAP011822) VB Community Annotation]	
AFUN011518	AFUN011518-RA	unspecified product	
AFUN011521	AFUN011521-RA	S2P endopeptidase [Source:Projected from Anopheles gambiae (AGAP011819) VB Community Annotation]	
AFUN011523	AFUN011523-RA	unspecified product	
AFUN011524	AFUN011524-RA	Glyco_18 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182RYZ3]	
AFUN011525	AFUN011525-RA	unspecified product	
AFUN011528	AFUN011528-RA	E3 ubiquitin-protein ligase Topors [Source:Projected from Anopheles gambiae (AGAP005831) VB Community Annotation]	
AFUN011529	AFUN011529-RA	Asp_Arg_Hydrox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0B9P9]	
AFUN011529	AFUN011529-RB	Asp_Arg_Hydrox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A4Y0B9P9]	
AFUN011532	AFUN011532-RA	unspecified product	
AFUN011537	AFUN011537-RA	unspecified product	
AFUN011538	AFUN011538-RA	V-type proton ATPase subunit C [Source:UniProtKB/TrEMBL;Acc:A0A182RZ07]	
AFUN011539	AFUN011539-RA	Alpha-galactosidase [Source:UniProtKB/TrEMBL;Acc:A0A182RZ08]	
AFUN011540	AFUN011540-RA	hydroxymethylglutaryl-CoA synthase [Source:Projected from Anopheles gambiae (AGAP005847) VB Community Annotation]	
AFUN011546	AFUN011546-RA	unspecified product	
AFUN011547	AFUN011547-RA	coiled-coil and C2 domain-containing protein 1-like [Source:Projected from Anopheles gambiae (AGAP010539) VB Community Annotation]	
AFUN011548	AFUN011548-RA	M-phase phosphoprotein [Source:Projected from Anopheles gambiae (AGAP010538) VB Community Annotation]	
AFUN011549	AFUN011549-RA	nucleolar complex protein [Source:Projected from Anopheles gambiae (AGAP010536) VB Community Annotation]	
AFUN011550	AFUN011550-RA	3-demethylubiquinone-9 3-methyltransferase [Source:Projected from Anopheles gambiae (AGAP010535) VB Community Annotation]	
AFUN011551	AFUN011551-RA	unspecified product	
AFUN011552	AFUN011552-RA	fibrinogen-related protein [Source:Projected from Anopheles gambiae (AGAP010531) VB Community Annotation]	
AFUN011553	AFUN011553-RA	CLIP-domain serine protease [Source:Projected from Anopheles gambiae (AGAP010530) UniProtKB/TrEMBL;Acc:A0A1S4H4A2]	
AFUN011558	AFUN011558-RA	unspecified product	
AFUN011559	AFUN011559-RA	unspecified product	
AFUN011560	AFUN011560-RA	sterol regulatory element-binding transcription factor [Source:Projected from Anopheles gambiae (AGAP000076) VB Community Annotation]	
AFUN011561	AFUN011561-RA	unspecified product	
AFUN011563	AFUN011563-RA	unspecified product	
AFUN011564	AFUN011564-RA	unspecified product	
AFUN011565	AFUN011565-RA	gamma-sarcoglycan [Source:Projected from Anopheles gambiae (AGAP000073) VB Community Annotation]	
AFUN011565	AFUN011565-RB	gamma-sarcoglycan [Source:Projected from Anopheles gambiae (AGAP000073) VB Community Annotation]	
AFUN011566	AFUN011566-RA	unspecified product	
AFUN011567	AFUN011567-RA	unspecified product	
AFUN011568	AFUN011568-RA	unspecified product	
AFUN011569	AFUN011569-RA	nuclear factor I [Source:Projected from Anopheles gambiae (AGAP000068) VB Community Annotation]	
AFUN011570	AFUN011570-RA	unspecified product	
AFUN011571	AFUN011571-RA	unspecified product	
AFUN011574	AFUN011574-RA	plexin A [Source:Projected from Anopheles gambiae (AGAP000064) VB Community Annotation]	
AFUN011574	AFUN011574-RB	plexin A [Source:Projected from Anopheles gambiae (AGAP000064) VB Community Annotation]	
AFUN011575	AFUN011575-RA	unspecified product	
AFUN011575	AFUN011575-RB	unspecified product	
AFUN011576	AFUN011576-RA	unspecified product	
AFUN011576	AFUN011576-RB	unspecified product	
AFUN011577	AFUN011577-RA	One cut domain family member [Source:Projected from Anopheles gambiae (AGAP000061) UniProtKB/TrEMBL;Acc:A0NCM1]	
AFUN011578	AFUN011578-RA	unspecified product	
AFUN011579	AFUN011579-RA	paired box protein [Source:Projected from Anopheles gambiae (AGAP000057) VB Community Annotation]	
AFUN011580	AFUN011580-RA	unspecified product	
AFUN011581	AFUN011581-RA	unspecified product	
AFUN011582	AFUN011582-RA	XK-related protein [Source:UniProtKB/TrEMBL;Acc:A0A182RZ51]	
AFUN011583	AFUN011583-RA	scaffold protein Nfu/NifU [Source:Projected from Anopheles gambiae (AGAP000598) VB Community Annotation]	
AFUN011584	AFUN011584-RA	DNA cross-link repair 1C protein [Source:Projected from Anopheles gambiae (AGAP000597) VB Community Annotation]	
AFUN011585	AFUN011585-RA	lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [Source:Projected from Anopheles gambiae (AGAP000596) VB Community Annotation]	
AFUN011586	AFUN011586-RA	lysophosphatidylcholine acyltransferase 2B [Source:Projected from Anopheles gambiae (AGAP000595) VB Community Annotation]	
AFUN011588	AFUN011588-RA	unspecified product	
AFUN011589	AFUN011589-RA	unspecified product	
